target,text,text_stem,text_lem,glove_cnn_label,glove_lstm_nn_label
1,watched really gd going sleep tired xx,watch slumdog millionair realli gd go sleep tire xx,watched millionaire really gd going sleep tired xx,0.09704706,0.23488405
0,ipod broken anymore lt watch movie dunno tomorrow gonna stay late guess,ipod broken anymor lt watch movi dunno tomorrow gonna stay late guess,ipod broken anymore lt watch movie dunno tomorrow gonna stay late guess,0.012261663,0.040389735
1,ugh little hungover going today,ugh littl hungov go gran today,ugh little hungover going gran today,0.008729595,0.016799204
1,thank mine one small dot,thank mine one small dot,thank mine one small dot,0.8275083,0.91126144
1,get followers day using www tweeteradder com add everyone train pay vip,get follow day use www tweeteradd com add everyon train pay vip,get follower day using www tweeteradder com add everyone train pay vip,1.0,0.9999565
1,night owl always late sorry water,night owl alway late sorri water heater,night owl always late sorry water heater,0.10357238,0.18738909
0,watched clip sooooo hot seen live years sooo,watch clip sooooo hot seen live year sooo,watched clip sooooo hot seen live year sooo,0.5519036,0.87898666
0,oh dear old friend rob twitter,oh dear old friend rob twitter,oh dear old friend rob twitter,0.9381687,0.09107338
0,hey guys gonna believe done,hey twitterworld guy gonna believ done,hey twitterworld guy gonna believe done,0.61382246,0.6061688
1,lol use met use sneak phone talk night long,lol use met use sneak phone talk night long,lol use met use sneak phone talk night long,0.56947815,0.55319625
1,check com,check com,check com,0.93674606,0.99714345
0,switched linux great long,switch linux great long write,switched linux great long writing,0.88559926,0.7427534
1,hope guys remembered sing happy birthday yesterday every year,hope guy rememb sing happi birthday yesterday everi year,hope guy remembered sing happy birthday yesterday every year,0.61612463,0.8835752
1,forget shower rain gt onto playing gt shut life,forget shower rain gt onto play gt shut life,forget shower rain gt onto playing gt shut life,0.32825518,0.31629175
0,study boring hate,studi bore hate,study boring hate,0.004601412,0.019411974
0,sunglasses broke car today,sunglass broke car today,sunglass broke car today,0.0022708888,0.009057339
1,five hours driving lt five beers,five hour drive lt five beer,five hour driving lt five beer,0.992192,0.80169857
1,lol got back day vacation hence silence also,lol got back day vacat henc silenc also travel,lol got back day vacation hence silence also travelling,0.40033895,0.66986865
1,new last night little silver whether ink hopefully good thanks amp,new goat last night littl silver whether ink lake hope good thank amp vicki,new last night little silver whether ink lake hopefully good thanks amp,0.9535734,0.95748407
1,moms day fam santa wine hand,mom day fam santa wine hand,mom day fam santa wine hand,0.8774804,0.86559343
0,hahaha tired play quot quot,hahaha tire play quot quot,hahaha tired play quot quot,0.14578304,0.64723027
0,poor dog tough week spider bite,poor dog tough week spider bite,poor dog tough week spider bite,0.02661478,0.008511714
1,take sunshine place needs warming sitting degrees outside much better inside,glad take sunshin place need warm sit degre outsid much better insid,take sunshine place need warming sitting degree outside much better inside,0.7200859,0.44097048
0,tomorrow might last little may,tomorrow might last littl may withdraw,tomorrow might last little may withdrawal,0.52120197,0.5582398
1,finished math thingy,finish math thingi,finished math thingy,0.855202,0.4455205
1,surely second book called,sure second book call,surely second book called,0.7084948,0.7975283
1,top rainbow ate red,tast top rainbow ate red,tasted top rainbow ate red,0.68946195,0.58900136
1,ooooh football sounds awesome age group sounds fab woohoo,ooooh coach footbal sound awesom age group sound fab woohoo,ooooh football sound awesome age group sound fab woohoo,0.9906861,0.994175
0,like said sorry show ever forgive,like said sorri show ever forgiv,like said sorry show ever forgive,0.16603841,0.22751272
0,sometimes get wish got,sometim get wish got,sometimes get wish got,0.08494653,0.0870686
0,taking college,take sissi colleg,taking sissy college,0.54648256,0.2855875
0,thanks great meeting heard ended leaving club get say bye,thank great meet heard end leav club get say bye,thanks great meeting heard ended leaving club get say bye,0.33204836,0.37755916
0,okay molly ruined fucking life,okay molli ruin fuck life,okay molly ruined fucking life,0.026286172,0.022898655
1,thinking august makes happy never get amazing makes happy lol,think august make happi never get amaz make happi lol,thinking august make happy never get amazing make happy lol,0.8703897,0.8460206
1,gotta work today,gotta work today,gotta work today,0.050853245,0.036565125
0,ugh help sister cakes clean may update,ugh help sister cake clean may updat,ugh help sister cake clean may update,0.14640479,0.040932953
0,ppl seem,ppl seem expect,ppl seem,0.6993878,0.592096
1,one lol goodnight,one lol goodnight,one lol goodnight,0.9507294,0.94643474
1,gt twitter lovers funny enjoy,gt twitter lover funni enjoy,gt twitter lover funny enjoy,0.9688373,0.9600339
1,hello lauren would like say awesome love hills going without,hello lauren would like say awesom love hill go without,hello lauren would like say awesome love hill going without,0.72630745,0.55228907
0,strawberry smoothie sounds soo good right bad hv nothing make money,strawberri smoothi sound soo good right bad hv noth make money,strawberry smoothie sound soo good right bad hv nothing make money,0.037324455,0.4913482
1,dinner ready cooking great night,dinner readi list kenni cook great night,dinner ready listing kenny cooking great night,0.8984508,0.9715759
1,leaving community college bang,leav communiti colleg bang,leaving community college bang,0.05446058,0.492987
0,oh sad bad dog,oh sad bad dog,oh sad bad dog,0.0064671133,0.0068446137
0,day see knowing im wants,day see know im want,day see knowing im want,0.33150092,0.37886116
0,ok crying,ok cri,ok cry,0.039562743,0.10501975
0,tried feed,tri steal meow feed,tried steal feed,0.22575752,0.07857811
1,alright finally tis great day history made,alright final tis great day histori made,alright finally ti great day history made,0.9081284,0.9779139
0,cuz never yet,cuz never yet,cuz never yet,0.08954623,0.15187003
0,quot account quot link sp going error page wanted one,quot account quot link sp go error page want one expir,quot account quot link sp going error page wanted one,0.0022499934,0.06915535
0,sad leave people,sad leav peopl,sad leave people,0.030036464,0.006737818
0,early getting back dont work sun,earli get back dont laptop work sun,early getting back dis dont laptop work sun,0.031839382,0.116487116
1,gt everyone else wanna know cause life reality ends everything ends gt others,gt everyon els wanna know caus life realiti end everyth end import gt other,gt everyone else wanna know cause life reality end everything end gt others,0.75578344,0.3587892
1,thanks tell say food good,thank tell say food good,thanks tell say food good,0.83028996,0.9604806
0,hahaha alright,hahaha alright,hahaha alright,0.6146884,0.78851765
0,internet still fuck coming next week ftw miss hero wars,internet still fuck come next week ftw miss hero war,internet still fuck coming next week ftw miss hero war,0.027778208,0.13822335
1,watch trailer whole thing check sometime,watch trailer whole thing yt check sometim,watch trailer whole thing yt check sometime,0.63380754,0.85813487
0,well today xbox live time catch stuff make videos etc,well today xbox live time catch stuff make video etc,well today xbox live time catch stuff make video etc,0.7859649,0.84181726
0,impressed looked,impress look,impressed looked,0.8099904,0.651491
1,headache away amazing weather amazing blue sky,headach away amaz weather amaz blue sky,headache away amazing weather amazing blue sky,0.6483434,0.27775928
1,smell yay open doors,smell yay open door,smell yay open door,0.3045811,0.70439655
0,fun one tweet ruin whole mood make feel fml,fun one tweet ruin whole mood make feel fml,fun one tweet ruin whole mood make feel fml,0.009729909,0.11763716
0,boy turns twenty tomorrow happen,boy turn twenti tomorrow happen,boy turn twenty tomorrow happen,0.30705813,0.16046612
0,year unfortunately able get church,year unfortun abl get church,year unfortunately able get church,0.046526495,0.013209403
0,sorry tweetdeck eff right,sorri tweetdeck eff right,sorry tweetdeck eff right,0.9998894,0.016794559
0,nope thinks weekend good weather,nope think weekend good weather,nope think weekend good weather,0.73594105,0.53592885
0,managed cut power yesterday fixed place,manag cut power yesterday fix place curs,managed cut power yesterday fixed place,0.0027007305,0.56615704
1,thanx alot,thanx alot,thanx alot,0.6860142,0.5910299
1,yay done art exam wow full pages writing ow hand hurts lol anyways go,yay done art exam wow full page write ow hand hurt lol anyway go,yay done art exam wow full page writing ow hand hurt lol anyways go,0.9671674,0.2702091
1,great,great,great,0.86863995,0.90899
1,sun shining house pool dogs next hour bad say,sun shine hous pool dog next hour bad say,sun shining house pool dog next hour bad say,0.003614531,0.22133489
1,quot rain forest angel,quot rain forest angel type,quot rain forest angel type,0.22775485,0.86762655
